city_name,latitude,temperature_Kelvin,humidity,cloudiness,wind_speed
Yulara,-25.24,284.15,53,0,3.6
Savinka,50.08,298.8,41,85,3.31
Black River,18.03,301.34,65,20,3.6
Kiruna,67.86,291.15,39,89,3.1
Sur,22.57,311.2,34,13,8.64
Seoul,37.57,296.51,88,4,0.5
Buraydah,26.33,315.15,15,0,5.1
Parana,-7.52,296.15,94,90,0.14
Dulovo,48.37,290.93,72,46,1.79
Mahebourg,-20.41,296.49,57,75,4.1
Latung,-8.45,292.4,92,23,2.29
Iwanai,42.97,289.8,94,100,2.85
Nara,34.68,294.4,100,75,2.6
Haines Junction,60.75,278.6,97,90,1.23
Swan Hill,-35.34,279.0,77,0,4.44
Port Augusta,-32.49,278.23,87,40,2.6
Tiznit,29.7,293.2,90,0,6.46
Zilair,52.23,293.1,90,100,5.6
Aklavik,68.22,280.15,87,20,3.1
Camacha,33.08,296.15,78,75,6.7
Alugan,12.22,297.5,95,100,1.43
Port Moresby,-9.47,297.5,84,100,5.73
Kearney,40.7,294.33,88,1,4.1
Pocerski Pricinovic,44.72,297.65,44,0,1.0
Katsuura,33.93,294.26,94,75,1.5
Iquitos,-3.75,279.15,319,40,0.28
Zelenoborsk,61.47,304.4,40,67,7.4
Timra,62.49,294.17,35,83,6.2
Nouadhibou,20.93,301.15,54,0,5.7
Auki,12.18,304.8,44,64,4.9
Chicama,-7.84,290.15,93,90,2.6
Qandala,11.47,306.0,59,46,4.11
Ouro Branco,-20.52,292.3,47,0,0.41
Sawakin,19.1,313.1,16,31,4.87
Yermakovskoye,53.28,295.1,76,89,1.69
Hasaki,35.73,295.65,88,75,2.6
Pimentel,-3.7,298.3,93,78,1.47
Saryg-Sep,51.49,293.3,65,100,1.51
Lethem,3.38,298.4,79,33,4.28
Burgos,42.34,295.09,46,40,3.6
Namibe,-15.19,292.4,84,74,4.03
Bucerias,20.76,299.2,100,90,1.0
Makokou,0.56,302.0,56,66,1.5
Meadow Lake,54.13,287.15,87,40,3.1
Cayenne,4.94,301.15,78,75,1.0
Salalah,17.01,300.15,94,90,5.1
Koper,11.1,303.0,57,100,5.55
Balad,-6.76,291.9,82,9,2.15
Ixtapa,20.71,299.2,100,90,1.0
Nurota,40.56,315.15,6,0,5.1
Port Hedland,-20.31,292.15,24,0,4.6
Kupang,-10.16,298.15,73,40,5.7
Buchanan,5.88,298.15,94,75,4.1
Bodden Town,19.28,302.62,79,20,2.6
Kingaroy,-26.54,283.93,57,40,6.2
Jining,35.41,302.3,42,31,3.5
Poum,41.28,297.15,47,40,3.6
Bandar-e Lengeh,26.56,310.15,60,49,5.1
Sao Pedro do Sul,-29.62,287.15,100,90,1.0
Conde,-11.81,296.7,88,34,2.33
Letka,43.74,296.18,50,40,2.6
Pelym,61.01,305.5,33,42,6.65
Belaya Gora,68.54,289.0,56,37,7.03
Novobirilyussy,56.95,299.4,44,0,2.3
Karata,42.6,288.2,75,22,0.76
